,time,distance,closure,TTC,x
0,2025-04-10 01:20:40.579258,142,10.0,14.2,2.0
1,2025-04-10 01:20:40.827244,139,-730.0,inf,2.0
2,2025-04-10 01:20:41.099251,125,80.0,1.5625,2.0
3,2025-04-10 01:20:41.343220,110,-220.0,inf,2.0
4,2025-04-10 01:20:41.583464,96,0.0,inf,2.0
5,2025-04-10 01:20:41.819005,81,100.0,0.81,2.0
6,2025-04-10 01:20:42.051396,68,90.0,0.7555555555555555,1.8
7,2025-04-10 01:20:42.276671,56,80.0,0.7,1.6
8,2025-04-10 01:20:42.499270,43,90.0,0.4777777777777778,1.4000000000000001
9,2025-04-10 01:20:42.725389,34,50.0,0.68,1.2000000000000002
10,2025-04-10 01:20:43.029581,23,70.0,0.32857142857142857,0.0
11,2025-04-10 01:20:43.306169,17,10.0,1.7,1.0
12,2025-04-10 01:20:43.583135,16,20.0,0.8,1.0
13,2025-04-10 01:20:43.853128,10,40.0,0.25,0.0
14,2025-04-10 01:20:44.197782,7,-10.0,inf,0.0
15,2025-04-10 01:20:44.467088,7,-10.0,inf,0.0
16,2025-04-10 01:20:44.738100,8,-10.0,inf,0.0
17,2025-04-10 01:20:45.007165,8,0.0,inf,0.0
18,2025-04-10 01:20:45.313974,12,-30.0,inf,0.0
19,2025-04-10 01:20:45.594830,21,-60.0,inf,0.0
20,2025-04-10 01:20:45.816719,32,-80.0,inf,1.0
21,2025-04-10 01:20:46.037214,41,-60.0,inf,1.2
22,2025-04-10 01:20:46.268836,50,-60.0,inf,1.4
23,2025-04-10 01:20:46.511842,58,70.0,0.8285714285714286,1.2
24,2025-04-10 01:20:46.740920,65,-40.0,inf,1.4
25,2025-04-10 01:20:46.980930,74,-40.0,inf,1.5999999999999999
26,2025-04-10 01:20:47.216818,84,-80.0,inf,1.5999999999999999
27,2025-04-10 01:20:47.482495,92,-40.0,inf,1.5999999999999999
28,2025-04-10 01:20:47.721575,99,-50.0,inf,1.5999999999999999
29,2025-04-10 01:20:47.970390,105,-40.0,inf,1.7999999999999998
30,2025-04-10 01:20:48.219014,110,-30.0,inf,1.9999999999999998
31,2025-04-10 01:20:48.469012,115,-20.0,inf,2.0
32,2025-04-10 01:20:48.729010,113,10.0,11.3,2.0
33,2025-04-10 01:20:48.983752,106,40.0,2.65,2.0
34,2025-04-10 01:20:49.228325,102,30.0,3.4,2.0
35,2025-04-10 01:20:49.476173,85,150.0,0.5666666666666667,2.0
36,2025-04-10 01:20:49.718294,79,50.0,1.58,2.0
37,2025-04-10 01:20:49.962682,67,70.0,0.9571428571428572,1.8
38,2025-04-10 01:20:50.193791,53,80.0,0.6625,1.6
39,2025-04-10 01:20:50.416766,42,90.0,0.4666666666666667,1.4000000000000001
40,2025-04-10 01:20:50.694396,28,110.0,0.2545454545454545,0.0
41,2025-04-10 01:20:50.920526,32,-20.0,inf,1.0
42,2025-04-10 01:20:51.151200,36,-10.0,inf,1.2
43,2025-04-10 01:20:51.394359,35,10.0,3.5,1.0
44,2025-04-10 01:20:51.615912,36,-10.0,inf,1.2
45,2025-04-10 01:20:51.841778,35,0.0,inf,1.2
46,2025-04-10 01:20:52.067296,35,10.0,3.5,1.0
47,2025-04-10 01:20:52.288825,36,0.0,inf,1.0
48,2025-04-10 01:20:52.514541,33,30.0,1.1,1.0
49,2025-04-10 01:20:52.797684,29,30.0,0.9666666666666667,1.0
50,2025-04-10 01:20:53.080083,28,-20.0,inf,1.2
51,2025-04-10 01:20:53.359277,26,10.0,2.6,1.0
52,2025-04-10 01:20:53.642185,29,-20.0,inf,1.2
53,2025-04-10 01:20:53.862829,33,-20.0,inf,1.4
54,2025-04-10 01:20:54.086356,35,-10.0,inf,1.5999999999999999
55,2025-04-10 01:20:54.307145,33,10.0,3.3,1.4
56,2025-04-10 01:20:54.529132,35,0.0,inf,1.4
57,2025-04-10 01:20:54.812979,29,50.0,0.58,1.2
58,2025-04-10 01:20:55.089703,17,60.0,0.2833333333333333,0.0
59,2025-04-10 01:20:55.358736,13,10.0,1.3,1.0
60,2025-04-10 01:20:55.718469,8,50.0,0.16,0.0
61,2025-04-10 01:20:56.083589,10,-10.0,inf,0.0
62,2025-04-10 01:20:56.355764,8,20.0,0.4,0.0
63,2025-04-10 01:20:56.577504,60,-520.0,inf,1.0
64,2025-04-10 01:20:56.850790,8,50.0,0.16,0.0
65,2025-04-10 01:20:57.138190,14,-20.0,inf,0.0
66,2025-04-10 01:20:57.419520,12,10.0,1.2,1.0
67,2025-04-10 01:20:57.690980,12,0.0,inf,1.0
68,2025-04-10 01:20:57.963358,14,-30.0,inf,1.2
69,2025-04-10 01:20:58.293943,18,-20.0,inf,1.4
70,2025-04-10 01:20:58.567510,22,-20.0,inf,1.5999999999999999
71,2025-04-10 01:20:58.846496,27,-30.0,inf,1.7999999999999998
72,2025-04-10 01:20:59.062968,36,-60.0,inf,1.9999999999999998
73,2025-04-10 01:20:59.330924,43,-40.0,inf,2.0
74,2025-04-10 01:20:59.553746,48,-50.0,inf,2.0
75,2025-04-10 01:20:59.777114,53,-40.0,inf,2.0
76,2025-04-10 01:21:00.009560,59,-40.0,inf,2.0
77,2025-04-10 01:21:00.238022,56,30.0,1.8666666666666667,1.8
78,2025-04-10 01:21:00.502890,64,-30.0,inf,2.0
79,2025-04-10 01:21:00.737402,68,-20.0,inf,2.0
80,2025-04-10 01:21:00.971648,69,-10.0,inf,2.0
81,2025-04-10 01:21:01.208918,72,-20.0,inf,2.0
82,2025-04-10 01:21:01.440939,72,10.0,7.2,1.8
83,2025-04-10 01:21:01.687960,72,-10.0,inf,2.0
84,2025-04-10 01:21:01.926039,67,10.0,6.7,1.8
85,2025-04-10 01:21:02.154350,60,50.0,1.2,1.6
86,2025-04-10 01:21:02.381948,50,70.0,0.7142857142857143,1.4000000000000001
87,2025-04-10 01:21:02.606757,44,40.0,1.1,1.2000000000000002
88,2025-04-10 01:21:02.865888,39,30.0,1.3,1.0000000000000002
89,2025-04-10 01:21:03.082173,33,30.0,1.1,1.0
90,2025-04-10 01:21:03.364029,28,30.0,0.9333333333333333,1.0
91,2025-04-10 01:21:03.643336,26,10.0,2.6,1.0
92,2025-04-10 01:21:03.934905,29,-20.0,inf,1.2
93,2025-04-10 01:21:04.226631,28,10.0,2.8,1.0
94,2025-04-10 01:21:04.502574,24,30.0,0.8,1.0
95,2025-04-10 01:21:05.977835,9,710.0,0.01267605633802817,0.0
96,2025-04-10 01:21:06.248716,7,20.0,0.35,0.0
97,2025-04-10 01:21:06.516623,4,20.0,0.2,0.0
98,2025-04-10 01:21:06.783372,6,-20.0,inf,0.0
99,2025-04-10 01:21:07.051273,6,0.0,inf,0.0
100,2025-04-10 01:21:07.634784,190,-1830.0,inf,1.0
101,2025-04-10 01:21:07.910515,62,1110.0,0.055855855855855854,1.0
102,2025-04-10 01:21:08.151315,78,120.0,0.65,1.0
103,2025-04-10 01:21:08.381954,58,100.0,0.58,1.0
104,2025-04-10 01:21:09.450681,56,-10.0,inf,1.2
105,2025-04-10 01:21:09.875549,52,-30.0,inf,1.4
106,2025-04-10 01:21:10.100583,54,-10.0,inf,1.5999999999999999
107,2025-04-10 01:21:12.095988,77,-210.0,inf,1.5999999999999999
